0,0
-1,0
-2,0
-3,0
-4,0
-5,1.470588
-6,4.411765
-7,7.352941
-8,11.764706
-9,16.176471
-10,17.647059
-11,22.058824
-12,22.058824
-13,26.470588
-14,26.470588
-15,29.411765
-16,30.882353
-17,32.352941
-18,33.823529
-19,36.764706
-20,38.235294
-21,39.705882
-22,42.647059
-23,44.117647
-24,47.058824
-25,48.529412
-26,50
-27,52.941176
-28,54.411765
-29,55.882353
-30,58.823529
-31,61.764706
-32,64.705882
-33,69.117647
-34,72.058824
-35,75
-36,77.941176
-37,80.882353
-38,83.823529
-39,88.235294
-40,91.176471
-41,95.588235
-42,97.058824
-43,101.470588
-44,104.411765
-45,108.823529
-46,110.294118
-47,114.705882
-48,117.647059
-49,122.058824
-50,125
-51,129.411765
-52,130.882353
-53,133.823529
-54,136.764706
-55,142.647059
-56,144.117647
-57,148.529412
-58,151.470588
-59,154.411765
-60,157.352941
-61,161.764706
-62,164.705882
-63,167.647059
-64,170.588235
-65,173.529412
-66,176.470588
-67,180.882353
-68,182.352941
-69,186.764706
-70,188.235294
-71,191.176471
-72,194.117647
-73,197.058824
-74,198.529412
-75,201.470588
-76,202.941176
-77,205.882353
-78,208.823529
-79,211.764706
-80,213.235294
-81,216.176471
-82,217.647059
-83,219.117647
-84,220.588235
-85,223.529412
-86,225
-87,226.470588
-88,227.941176
-89,229.411765
-90,229.411765
-91,230.882353
-92,232.352941
-93,232.352941
-94,232.352941
-95,233.823529
-96,233.823529
-97,235.294118
-98,235.294118
-99,235.294118
-100,235.294118
